1 {'h': 33.5, 't': 29.0, 'score': 49.643301336558686}
2 {'h': 34.0, 't': 29.0, 'score': 49.643301336558686}
3 {'h': 34.5, 't': 29.0, 'score': 49.643301336558686}
4 {'h': 32.5, 't': 29.5, 'score': 50.765190037744865}
5 {'h': 33.0, 't': 29.5, 'score': 50.765190037744865}
6 {'h': 33.5, 't': 29.5, 'score': 50.765190037744865}
7 {'h': 34.0, 't': 29.5, 'score': 50.765190037744865}
8 {'h': 34.5, 't': 29.5, 'score': 50.765190037744865}
9 {'h': 31.0, 't': 30.0, 'score': 51.90452945535564}
10 {'h': 31.5, 't': 30.0, 'score': 51.90452945535564}
11 {'h': 32.0, 't': 30.0, 'score': 51.90452945535564}
12 {'h': 32.5, 't': 30.0, 'score': 51.90452945535564}
13 {'h': 33.0, 't': 30.0, 'score': 51.90452945535564}
14 {'h': 33.5, 't': 30.0, 'score': 51.90452945535564}
15 {'h': 34.0, 't': 30.0, 'score': 51.90452945535564}
16 {'h': 34.5, 't': 30.0, 'score': 51.90452945535564}
17 {'h': 30.0, 't': 30.5, 'score': 53.06202756035621}
18 {'h': 30.5, 't': 30.5, 'score': 53.06202756035621}
19 {'h': 31.0, 't': 30.5, 'score': 53.06202756035621}
20 {'h': 31.5, 't': 30.5, 'score': 53.06202756035621}
21 {'h': 32.0, 't': 30.5, 'score': 53.06202756035621}
22 {'h': 32.5, 't': 30.5, 'score': 53.06202756035621}
23 {'h': 33.0, 't': 30.5, 'score': 53.06202756035621}
24 {'h': 33.5, 't': 30.5, 'score': 53.06202756035621}
25 {'h': 34.0, 't': 30.5, 'score': 53.06202756035621}
26 {'h': 34.5, 't': 30.5, 'score': 53.06202756035621}
27 {'h': 28.5, 't': 31.0, 'score': 54.23842652877838}
28 {'h': 29.0, 't': 31.0, 'score': 54.23842652877838}
29 {'h': 29.5, 't': 31.0, 'score': 54.23842652877838}
30 {'h': 30.0, 't': 31.0, 'score': 54.23842652877838}
31 {'h': 30.5, 't': 31.0, 'score': 54.23842652877838}
32 {'h': 31.0, 't': 31.0, 'score': 54.23842652877838}
33 {'h': 31.5, 't': 31.0, 'score': 54.23842652877838}
34 {'h': 32.0, 't': 31.0, 'score': 54.23842652877838}
35 {'h': 32.5, 't': 31.0, 'score': 54.23842652877838}
36 {'h': 33.0, 't': 31.0, 'score': 54.23842652877838}
